"kelime","n"
"bende",115
"hayatýný",114
"kontrol",113
"malum",113
"alýnan",112
"dünyanýn",112
"haziran",112
"virüsten",112
"yada",112
"covid_19",111
"risk",111
"negatif",110
"hadi",109
"hayat",109
"insanlara",109
"insanlarýn",109
"kayaismail80",109
"belasý",108
"can",108
"sahilde",108
"dünyaya",107
"herkese",107
"koca",107
"su",107
"aracýlýðýyla",106
"iþe",106
"tarihi",106
"bakaný",105
"bitmez",104
"kesin",104
"mücadele",104
"tip",104
"bey",103
"gelen",103
"ölümcül",103
"sýcak",103
"alparslankuytul",102
"bitse",102
"diyen",102
"hastalýk",102
"vs",102
"yeter",102
"bilimkurulusinavýertele",101
"birde",101
"hemen",101
"ikinci",101
"spor",101
"i",100
"nedir",100
"türlü",100
"ulan",100
"virüse",100
"yekta_sarac",100
"aþýsý",99
"geçti",99
"bulaþma",98
"çalýþýyor",98
"iþi",98
"önlem",98
"sýnavý",98
"ciddi",97
"gelir",97
"izin",97
"sýcakta",97
"sürekli",97
"yakýn",97
"dakika",96
"halis_aygun",96
"iptal",96
"karantinaya",96
"dua",95
"ediyoruz",95
"hürmetine",95
"okul",95
"türk",95
"üzerinde",95
"asýl",94
"bittikten",94
"çocuk",94
"durumda",94
"mutasyona",94
"söz",94
"sürecinde",94
"tane",94
"toplu",94
"akþam",93
"cezaevinde",93
"dedim",93
"gelecek",93
"öðrenciler",93
"yanlýþ",93
"belasýndan",92
"destek",92
"ederim",92
"istiyorum",92
"chp",91
"olayý",91
"rahat",91
"sonu",91
"uzun",91
"dan",90
"gerçek",90
"haluklevent",90
"hayýr",90
"hmzaydg",90
"tehlikesi",90
"yoðun",90
"düþünüyorum",89
"gecesi",89
"gençlik",89
"olmasa",89
"savaþ",89
"valla",89
"bulaþtý",88
"cezaevlerinde",88
"çýkýp",88
"eski",88
"insanhaklaridb",88
"bakan",87
"binlerce",87
"bitmedi",87
"gidip",87
"sayesinde",87
"vakasý",87
"aciluygulansýn",86
"coronaturkey",86
"edin",86
"etkisi",86
"nasip",86
"saðlýklý",86
"sondaki·ka",86
"aymmadde17",85
"çocuklar",85
"engel",85
"herhalde",85
"merak",85
"sebep",85
"üniversite",85
"ders",84
"haziranda",84
"kaynaklý",84
"maskesiz",84
"versin",84
"avm'de",83
"burda",83
"el",83
"et",83
"onlara",83
"resmen",83
"dýþarda",82
"gel",82
"aydan",81
"baþkaný",81
"bayramý",81
"diyorum",81
"gençler",81
"güncel",81
"kalabalýk",81
"ülkenin",81
"dýþarýda",80
"geçmiþ",80
"gidiyor",80
"gitmek",80
"kalan",80
"kýsa",80
"küçük",80
"tedavi",80
"yayýlýyor",80
"arasýnda",79
"askerlik",79
"bizleri",79
"bulaþmaz",79
"bulaþmýþ",79
"ekonomi",79
"ekonomik",79
"gördüm",79
"günler",79
"hakkýnda",79
"hale",79
"kilicdarogluk",79
"mutlu",79
"nedeni",79
"okulda",79
"olunca",79
"tcbestepe",79
"bakalým",78
"bakýn",78
"eylesin",78
"gitti",78
"i·nþallah",78
"in",78
"mahkumdanmektup",78
"mirüs",78
"sputnik_tr",78
"varrte",78
"hastalýðý",77
"koronareport",77
"refik_ozen16",77
"saçma",77
"süre",77
"yazýk",77
"ayrý",76
"biþey",76
"evinde",76
"farklý",76
"yapan",76
"enteresan",75
"i·nsanlar",75
"mücadelede",75
"olmasaydý",75
"olmasýn",75
"ayýnda",74
"dönemde",74
"dr",74
"günlerde",74
"istiyor",74
"karantinada",74
"konu",74
"traderat12",74
"ülkeye",74
"üst",74
"erdoðan",73
"erken",73
"etmek",73
"gereken",73
"kronik",73
"orda",73
"yapýlacak",73
"atatürk",72
"çýkar",72
"enfekte",72
"gelince",72
"insana",72
"mezun",72
"olmalý",72
"verin",72
"yarýn",72
"yemek",72
"zamaný",72
"amin",71
"diyorlar",71
"düþtü",71
"hýzlý",71
"tcmeb",71
"veriyor",71
"web",71
"yapýldý",71
"allahým",70
"avrupa",70
"bekliyoruz",70
"durumu",70
"gider",70
"i·lk",70
"sitemizden",70
"vekilim",70
"baðýþýklýk",69
"canlý",69
"dolu",69
"ev",69
"evdekal",69
"kriz",69
"uzak",69
"yks2020",69
"zorunda",69
"açýlacak",68
"arkadaþ",68
"çýkýyor",68
"güç",68
"alýndý",67
"beraber",67
"bizler",67
"çalýþan",67
"dýþýnda",67
"hastaneye",67
"hepimiz",67
"takip",67
"talep",67
"türkçe",67
"git",66
"gt",66
"lanet",66
"tercih",66
"akp",65
"alýp",65
"asla",65
"azýndan",65
"coronavirus",65
"çýkmýþ",65
"i·þte",65
"ikalin1",65
"kan",65
"olduk",65
"süreci",65
"açýklamasý",64
"bilgi",64
"caným",64
"gelsin",64
"giden",64
"kiþide",64
"maalesef",64
"saatte",64
"tablosu",64
"tl",64
"yalan",64
"yoktu",64
"ara",63
"bahane",63
"ol",63
"olanlar",63
"özellikle",63
"sondakika",63
"sürü",63
"teþekkür",63
"trump",63
"yüzde",63
"baþkaným",62
"cuma",62
"dolar",62
"i·yi",62
"insaný",62
"lig",62
"milli",62
"öðrencileri",62
"sorun",62
"tcsavunma",62
"üzerinden",62
"yana",62
"dönem",61
"gecemiz",61
"gelmiþ",61
"girecek",61
"kaybetti",61
"namazýnda",61
"net",61
"prof",61
"verdi",61
"vesile",61
"bulaþýrsa",60
"camiler",60
"deprem",60
"halde",60
"kolay",60
"nefes",60
"olmadan",60
"sn",60
"toplam",60
"ver",60
"yandan",60
"ana",59
"girmek",59
"göz",59
"milyonlarca",59
"oldum",59
"öðrenci",59
"seyahat",59
"sistemi",59
"þehir",59
"tc_icisleri",59
"temas",59
"teþekkürler",59
"vardýr",59
"virüsle",59
"almak",58
"deðiliz",58
"derece",58
"eyle",58
"gerekiyor",58
"günlerinde",58
"hayatini",58
"helal",58
"kimsenin",58
"merhaba",58
"olurdu",58
"yardýmcý",58
"yayýldý",58
"alan",57
"aldý",57
"dbdevletbahceli",57
"etkisini",57
"ilde",57
"kurtaracaktýr.aciliyet",57
"ortada",57
"osymbaskanligi",57
"sýkýntý",57
"sonuç",57
"süreçte",57
"üstüne",57
"zarar",57
"adamlar",56
"akýllý",56
"bahanesiyle",56
"bitiyor",56
"doðal",56
"iþin",56
"kadýn",56
"konusunda",56
"mal",56
"maskeyle",56
"mesela",56
"milleti",56
"özel",56
"serbest",56
"suleymansoylu",56
"þükür",56
"tedbir",56
"terk",56
"türkiye'nin",56
"yokmuþ",56
"aðýr",55
"arasý",55
"baþýna",55
"bide",55
"býrakýn",55
"çalýþma",55
"çýkacak",55
"çözüm",55
"haberimiz",55
"halk",55
"illetinden",55
"istemiyorum",55
"kendimi",55
"neler",55
"neyin",55
"normale",55
"okullarýn",55
"sabah",55
"sýnavýnda",55
"yol",55
"bela",54
"doktor",54
"havada",54
"herþey",54
"kalmadý",54
"lgs",54
"mümkün",54
"olmayacak",54
"üzerine",54
"vefat",54
"yemin",54
"bayramdan",53
"bulaþmasýn",53
"dediler",53
"iç",53
"ilaç",53
"insanýn",53
"kararlar",53
"mutasyon",53
"nin",53
"oraný",53
"yaþýyor",53
"yurt",53
"yükseldi",53
"bakanlýðý",52
"duyun",52
"düþük",52
"filan",52
"genç",52
"gidecek",52
"ha",52
"haberi",52
"hoca",52
"kapma",52
"laf",52
"msü",52
"okula",52
"sahip",52
"sesimizi",52
"soru",52
"uygulanmalidir",52
"varmýþ",52
"abdulhamitgul",51
"belasýný",51
"bitmeden",51
"boyunca",51
"bulundu",51
"denk",51
"ekrem_imamoglu",51
"fahrettinaltun",51
"haberler",51
"icin",51
"konusu",51
"maðdur",51
"mugokgoz32",51
"ortamýnda",51
"polis",51
"riske",51
"ses",51
"yarasa",51
"1000",50
"20000öðretmenneolacak",50
"aile",50
"aklýma",50
"aþýrý",50
"cidden",50
"deðildir",50
"gul_davut",50
"hak",50
"ihtimali",50
"kalmak",50
"olay",50
"ortamda",50
"öncesi",50
"seneye",50
"siring",50
"þaka",50
"takým",50
"temel",50
"abdullahciftcib",49
"anlýk",49
"bilmiyorum",49
"d",49
"eylül",49
"farkýnda",49
"genelinde",49
"maskeyi",49
"okullarý",49
"ölü",49
"saðlýðý",49
"salgýnýndan",49
"trafik",49
"veren",49
"yapýlýyor",49
"al",48
"araya",48
"azalýyor",48
"baþkan",48
"bitene",48
"dedik",48
"dýþ",48
"etkili",48
"geç",48
"geçiyor",48
"gitsin",48
"gündür",48
"içi",48
"kimseye",48
"konuda",48
"korkusu",48
"online",48
"oyun",48
"teker",48
"turizm",48
"yapýyorlar",48
"yapmayýn",48
"akýl",47
"alýn",47
"anma",47
"ardýndan",47
"bol",47
"edilen",47
"ettiðimiz",47
"geçsin",47
"i·ngiltere",47
"içine",47
"kalsýn",47
"kaybediyor",47
"küresel",47
"maskesi",47
"olsaydý",47
"ülkeler",47
"yeri",47
"babam",46
"bulaþacak",46
"din",46
"etmeye",46
"gecenin",46
"girdi",46
"haberim",46
"he",46
"ý",46
"ilan",46
"izole",46
"kendine",46
"mantýklý",46
"olacaktýr",46
"önlemleri",46
"türkiye'de",46
"üstü",46
"yaþlý",46
"baþta",45
"bizlere",45
"deðiþiyor",45
"kulak",45
"maddi",45
"üyesi",45
"yanýnda",45
"yap",45
"yapýp",45
"alt",44
"bulunan",44
"çýkmayýn",44
"fabrikada",44
"gelip",44
"grip",44
"güçlü",44
"i·nsan",44
"i·stanbul",44
"kalmaz",44
"kýz",44
"namaz",44
"normalleþme",44
"olmasýný",44
"olucak",44
"silivridenyükselen",44
"sokaklar",44
"þubatta",44
"tedbirler",44
"yahu",44
"yaptýlar",44
"1500",43
"adalet",43
"adamý",43
"aylardýr",43
"cevap",43
"diyip",43
"edelim",43
"edip",43
"ertelendi",43
"etmeyin",43
"feryat",43
"gerekli",43
"hastane",43
"iftar",43
"kafa",43
"korusun",43
"mali",43
"sona",43
"ten",43
"uçuþ",43
"yapar",43
"yerinde",43
"yeterli",43
"abd'de",42
"adýna",42
"amerika",42
"ayda",42
"cok",42
"etme",42
"fark",42
"gelmez",42
"hayatý",42
"i·le",42
"i·slam",42
"iþyerinde",42
"kanka",42
"kýþlaya",42
"kovid",42
"nisan",42
"olmuyor",42
"öðlen",42
"önlemler",42
"özledim",42
"ramazanda",42
"salgýnýnda",42
"sýnavlarý",42
"sokaklarda",42
"türkiye'deki",42
"ülkemizde",42
"vakalar",42
"vb",42
"yavaþ",42
"yüzü",42
"2019",41
"anlamýyorum",41
"annem",41
"bulaþsa",41
"corono",41
"dün",41
"etmiþ",41
"fahrettin",41
"genel",41
"geziyor",41
"girmiþ",41
"gözardý",41
"i·çi·n",41
"kesinlikle",41
"kurallara",41
"millete",41
"mýsýnýz",41
"olmadýðýný",41
"türkiye’de",41
"yapalým",41
"yapmýþ",41
"yokken",41
"aç",40
"açýlýyor",40
"ah",40
"alýyor",40
"beyin",40
"bý",40
"bulaþtýrma",40
"çocuklarý",40
"ettim",40
"ey",40
"fatih",40
"herþeyi",40
"hýzla",40
"kapmak",40
"kaybý",40
"kýsýtlama",40
"medya",40
"mesafeyi",40
"psikolojik",40
"sonucu",40
"survivor2020",40
"sürece",40
"tatile",40
"uygulamasý",40
"ülkemizi",40
"ülkeyi",40
"üstelik",40
"valim",40
"yapýn",40
"yaþayan",40
"yýllýk",40
"yilmaztunc",40
"2021",39
"bekliyor",39
"cahil",39
"camileri",39
"covidaymi·çin",39
"cumhuriyetgzt",39
"diyelim",39
"diyo",39
"eylülde",39
"gençlerin",39
"görünce",39
"haberin",39
"haberleri",39
"hafif",39
"herkesi",39
"ilacý",39
"isteyen",39
"kapýp",39
"kredi",39
"musunuz",39
"mücbirsebep",39
"müslüman",39
"olaylarý",39
"ortaokulda",39
"reis",39
"rusya",39
"sýrf",39
"sonraki",39
"te",39
"tedavisi",39
"temizlik",39
"tez",39
"virus",39
"yerden",39
"yýllardýr",39
"açýklandý",38
"allah'ým",38
"aman",38
"azaldý",38
"bilir",38
"biliyorum",38
"bitmeyecek",38
"bunlara",38
"çav",38
"çýktýðý",38
"denize",38
"diyorsunuz",38
"döndü",38
"düþünün",38
"eþim",38
"giriyor",38
"gündem",38
"hareket",38
"hazýr",38
"iþine",38
"iþsiz",38
"kararý",38
"mesafeye",38
"metre",38
"ölen",38
"öne",38
"önüne",38
"saglikbakanligi",38
"sende",38
"sizde",38
"tv",38
"yaklaþýk",38
"yanýna",38
"yasaklar",38
"yaþýnda",38
"yýldýr",38
"yuksekogretimk",38
"zamanýnda",38
"zorunlu",38
"ayakta",37
"baya",37
"belediye",37
"deðildi",37
"deðiþtirme",37
"ediyorlar",37
"emin",37
"futbol",37
"göremedik",37
"halka",37
"heralde",37
"kutlu",37
"mart",37
"meral_aksener",37
"muhabbeti",37
"olma",37
"olmaya",37
"ölüme",37
"sayýsýnýn",37
"sizce",37
"sokak",37
"þeye",37
"verilmesi",37
"yüce",37
"ailesi",36
"baþ",36
"baþýnda",36
"berber",36
"bilgiyi",36
"demiþ",36
"drtevfikozlu",36
"dsö",36
"edilmemeli",36
"gelmiyor",36
"gördü",36
"günden",36
"hapistegünahsýz",36
"hemde",36
"hergün",36
"i·l",36
"kaldýk",36
"kapmýþ",36
"ler",36
"mehmet",36
"merkezini",36
"misiniz",36
"olmazsa",36
"otel",36
"önünde",36
"örnek",36
"sýnavýn",36
"temiz",36
"toplum",36
"vallahi",36
"virüsler",36
"yapsýn",36
"yatanvarrte",36
"yi",36
"yýlýnda",36
"adý",35
"beratalbayrak",35
"biliyor",35
"biterse",35
"cumhurbaþkaný",35
"deli",35
"denen",35
"destinasyonlar",35
"dýþý",35
"duyurulmaktadýr",35
"eczozgurozel",35
"endiþe",35
"faydasý",35
"gören",35
"göze",35
"haklý",35
"i·ki",35
"i·þ",35
"içeri",35
"islam",35
"iþler",35
"kalýr",35
"kiþilik",35
"kurtarsýn",35
"la",35
"milletin",35
"muhafaza",35
"nefret",35
"ortadan",35
"öðrenebilirsiniz",35
"ölenlerin",35
"riskini",35
"sayýsýný",35
"sýnavdan",35
"süper",35
"süreç",35
"tak",35
"tehlike",35
"uçak",35
"ü",35
"verilen",35
"yaa",35
"yayýlýr",35
"aldým",34
"allahýn",34
"basit",34
"bekliyorum",34
"bittiðinde",34
"bulaþtýrmak",34
"cezaevlerine",34
"çalýþmaya",34
"deniz",34
"devlete",34
"dinlemiyor",34
"dur",34
"duruma",34
"düþüyor",34
"geçer",34
"geldim",34
"gibiler",34
"görmezden",34
"gücünü",34
"halinde",34
"haluk",34
"huzur",34
"i·lkokulda",34
"insanlýðýn",34
"kafayý",34
"öldürecek",34
"öldürür",34
"pis",34
"rahatsýz",34
"salgýnýn",34
"sýnavlar",34
"sýnýfta",34
"söyledi",34
"survivor",34
"ta",34
"tarih",34
"taþýyýcý",34
"testleri",34
"yazýn",34
"yoktur",34
"ziyaret",34
"00",33
"açýldý",33
"adým",33
"allah'ýn",33
"anlamadým",33
"arkadaþým",33
"baba",33
"baðlý",33
"bahanesi",33
"bella",33
"birbirine",33
"buraya",33
"çýkýnca",33
"degil",33
"demektir",33
"dert",33
"deyip",33
"ederken",33
"eminim",33
"erkek",33
"gecede",33
"gelin",33
"girip",33
"gündüz",33
"hâlâ",33
"hayal",33
"hayvan",33
"il",33
"kalýyor",33
"kapandý",33
"mahalle",33
"mehmetceyhan23",33
"namazý",33
"olmasýna",33
"ortam",33
"öðrencilerin",33
"öðretmen",33
"saatlik",33
"sefer",33
"show",33
"tff",33
"umut",33
"vakit",33
"yaptým",33
"adamýn",32
"alaný",32
"aþkýna",32
"baþlýyor",32
"baþvuru",32
"bilimsel",32
"bilmem",32
"boþa",32
"cami",32
"camilerde",32
"ercumentovali",32
"görüyor",32
"hijyen",32
"istanbul",32
"kat",32
"kendimizi",32
"korku",32
"ligi",32
"liseye",32
"maç",32
"manevi",32
"milletimizi",32
"nevsinmengu",32
"nolur",32
"normalde",32
"resmi",32
"sevgili",32
"þart",32
"þifa",32
"taþýyan",32
"temmuz",32
"trthaber",32
"ün",32
"vakasýnýn",32
"yav",32
"zihniyet",32
"19mayis",31
"alanda",31
"anne",31
"bakteri",31
"barýþ",31
"baþý",31
"baþýmýza",31
"bilimkurulusinaviertele",31
"cakizil",31
"çarþamba",31
"çýkarsa",31
"çýksa",31
"çin'de",31
"deðerli",31
"deðilim",31
"devletin",31
"diyerek",31
"dönemi",31
"ele",31
"eþit",31
"evlerde",31
"geldik",31
"gidin",31
"içerisinde",31
"insandan",31
"insanlýðý",31
"kimseyi",31
"korana",31
"korkuyorum",31
"maaþ",31
"mahkumlar",31
"oðlum",31
"olduðumuz",31
"organizasyon",31
"ölür",31
"pusholder",31
"raporu",31
"sjnapdanei",31
"sonrasýnda",31
"sonuçta",31
"tebrik",31
"ülkemiz",31
"ülkemizin",31
"vatandaþ",31
"virüslü",31
"vurdu",31
"yan",31
"yayýlacak",31
"zararý",31
"atesateskara",30
"atmaya",30
"barisyarkadas",30
"baþarýlý",30
"bit",30
"bok",30
"bulaþýcý",30
"bulaþtýðý",30
"çalýþýyoruz",30
"çeþit",30
"dalgasý",30
"deðilde",30
"diyenler",30
"dönüþ",30
"düðün",30
"düþme",30
"ederse",30
"ertelensin",30
"fatihportakal",30
"felan",30
"geceniz",30
"gelmedi",30
"giriþ",30
"halkýn",30
"hayata",30
"haziran'da",30
"hikaye",30
"ibadete",30
"kemal",30
"klima",30
"komite",30
"meclis'te",30
"mesafenin",30
"mikrop",30
"öðrencilerezulüm",30
"ölüyor",30
"riskli",30
"silivri",30
"sýnavýna",30
"þans",30
"tablosunu",30
"tehlikeye",30
"vay",30
"verdiði",30
"yapýyorsunuz",30
"yaptýk",30
"yaradý",30
"yerler",30
"1parcatuhaftik",29
"alacak",29
"almaya",29
"aylýk",29
"baþkanýmýz",29
"belirti",29
"bilet",29
"biliyoruz",29
"coronavirüs",29
"çýk",29
"çýktým",29
"çin'in",29
"demeden",29
"demekki",29
"dimi",29
"direkt",29
"edilmiþ",29
"ek",29
"ekmek",29
"erteleyin",29
"etmiyor",29
"garip",29
"gereksiz",29
"getiren",29
"gündemi",29
"günleri",29
"havalar",29
"hesabýný",29
"hizmet",29
"hükümet",29
"ileri",29
"imkansýz",29
"inþaallah",29
"isabetli",29
"kargo",29
"kimin",29
"konseri",29
"konserine",29
"kovid19",29
"küme",29
"lise",29
"mahkum",29
"oruç",29
"programý",29
"salak",29
"sözde",29
"turist",29
"uygulanan",29
"yapmaya",29
"yapmýyor",29
"yarým",29
"yasaklarý",29
"yaþýyoruz",29
"yönetim",29
"zamana",29
"19mayis1919",28
"af",28
"ailemize",28
"akýn",28
"almýþ",28
"antalya",28
"aptal",28
"araþtýrma",28
"artýþ",28
"býrak",28
"bitirdi",28
"bitmemiþken",28
"bulaþmayacak",28
"bursa",28
"carsamba",28
"çin'den",28
"çocuðu",28
"davet",28
"dediðin",28
"derler",28
"dýþarýya",28
"düþer",28
"düþmaný",28
"ederiz",28
"grubu",28
"hayatta",28
"illeti",28
"insanlarla",28
"kapattý",28
"kaynaðý",28
"kendime",28
"kiþiden",28
"kitap",28
"kýzým",28
"koronavirus",28
"krizi",28
"meslek",28
"mezuniyet",28
"moral",28
"oda",28
"olacaðý",28
"olalým",28
"olanlara",28
"onlarda",28
"oturup",28
"oy",28
"öðretmenler",28
"pazar",28
"salgýnýnýn",28
"sýcaklar",28
"sýra",28
"siyasi",28
"sizler",28
"sorumlu",28
"þampiyon",28
"þeyin",28
"tabiki",28
"tektipplatform",28
"testler",28
"un",28
"varmý",28
"yaparak",28
"yapma",28
"yerlere",28
"yorum",28
"zamanlar",28
"açýlmasýný",27
"açýsýndan",27
"alakasý",27
"alýþveriþ",27
"almanya",27
"aþýyý",27
"ateþ",27
"birbirimize",27
"bitsede",27
"bugüne",27
"camide",27
"deðer",27
"derin",27
"doðum",27
"enginozkoc",27
"etki",27
"gidelim",27
"görmek",27
"gösteriyor",27
"güne",27
"haline",27
"halký",27
"hastanede",27
"hata",27
"hes",27
"iletisim",27
"insanlýða",27
"istemiyor",27
"iþsizlik",27
"kalacak",27
"kaldým",27
"kaparsam",27
"kardeþ",27
"korumak",27
"kurtar",27
"martta",27
"miyiz",27
"olacaðýný",27
"olduðuna",27
"saygý",27
"sayý",27
"söylüyor",27
"süresi",27
"sürüyor",27
"t24comtr",27
"taþýma",27
"týklým",27
"tweet",27
"twitter",27
"uygun",27
"ülkelerde",27
"video",27
"yapýlsýn",27
"youtube",27
"anlamda",26
"aþtý",26
"ayý",26
"aylar",26
"baþarý",26
"bayrama",26
"bini",26
"camii",26
"devamý",26
"dezenfekte",26
"dikkatli",26
"elektrik",26
"evine",26
"evlere",26
"evlerine",26
"gazetesozcu",26
"geçecek",26
"geçince",26
"gençlere",26
"gerekir",26
"görmedim",26
"güneþ",26
"hepsini",26
"ilginç",26
"insanlýk",26
"iþten",26
"kýsýtlamasý",26
"kol",26
"konser",26
"koru",26
"maþallah",26
"muhtemelen",26
"mustafa",26
"okullarda",26
"razý",26
"sabýr",26
"sakýn",26
"sayýlarý",26
"seçim",26
"sesver",26
"sýfýr",26
"sigara",26
"sonuçlarý",26
"suyu",26
"verildi",26
"verilmesini",26
"yapýyoruz",26
"yaptýðýnýz",26
"yolu",26
"adana",25
"ak",25
"aldýk",25
"anladým",25
"aþký",25
"bakým",25
"bayramýnda",25
"birini",25
"borsa",25
"bozuldu",25
"bulaþabilir",25
"bulaþtýrdý",25
"camilerin",25
"çay",25
"çinli",25
"çinliler",25
"def",25
"derim",25
"dezenfektan",25
"diliyorum",25
"dini",25
"edeceðiz",25
"eðitime",25
"eðitimin",25
"elimizde",25
"emanet",25
"evi",25
"evlerinde",25
"film",25
"fýrsat",25
"foxhaber",25
"galatasaray",25
"geliþ",25
"giren",25
"gittim",25
"günaydýn",25
"ihtiyaç",25
"kalýn",25
"kaynýyor",25
"kelebek",25
"korkutan",25
"kpss",25
"kucukkayaismail",25
"kural",25
"kurum",25
"lagaribey",25
"ligler",25
"mesaj",25
"neymiþ",25
"olasý",25
"ortalama",25
"ortalýkta",25
"öldü",25
"öldürüyor",25
"özür",25
"parti",25
"rica",25
"sýcaklýk",25
"sokaklara",25
"soruyorum",25
"tffsuperlig",25
"vekilyilmazkaya",25
"verecek",25
"yaaa",25
"yayýlma",25
"zorla",25
"1.5",24
"2.5",24
"açýlsýn",24
"açýn",24
"adalet_bakanlik",24
"aktif",24
"avmler",24
"baþlayacak",24
"bill",24
"birgun_gazetesi",24
"bizimle",24
"bulaþsýn",24
"bulunduðumuz",24
"camiye",24
"cehalet",24
"çalýþýyorum",24
"çarþý",24
"çýkmak",24
"deðilse",24
"diyoruz",24
"dk",24
"eksik",24
"evdeyiz",24
"evlerinden",24
"futbolcu",24
"geliyo",24
"gelse",24
"gidemiyorum",24
"gösterdi",24
"gözle",24
"hali",24
"hastasý",24
"herkesicinchp",24
"heryerde",24
"iþleri",24
"izmir",24
"kapsam",24
"kenara",24
"kiþiler",24
"kiþilerin",24
"malesef",24
"mevcut",24
"milyonu",24
"mutlaka",24
"olacaðýz",24
"olumsuz",24
"ordan",24
"ölümü",24
"plan",24
"sað",24
"sayýsýnda",24
"sonuna",24
"suayalpay",24
"þehirde",24
"tehdit",24
"tepki",24
"türü",24
"unutmayýn",24
"üste",24
"vakalarý",24
"vermiyor",24
"yayýlan",24
"yerli",24
"yoðunluk",24
"yolda",24
"zengin",24
"açlýk",23
"aga",23
"ahmet",23
"akparti",23
"alp_kavaklioglu",23
"ankara",23
"anlamak",23
"artýyor",23
"arttý",23
"atýyor",23
"ayýp",23
"aziz",23
"baþýndan",23
"berberler",23
"birikti",23
"birine",23
"birlik",23
"burdan",23
"çalýþanlarý",23
"çare",23
"çelenk",23
"çýksýn",23
"davranýyor",23
"der",23
"derdi",23
"dilerim",23
"dýþarýdan",23
"dizi",23
"doða",23
"dostlar",23
"duruyor",23
"emniyetgm",23
"eskiden",23
"eskisi",23
"ettiniz",23
"geçtim",23
"geldiði",23
"gelmesi",23
"gidiyorum",23
"hayatýmýza",23
"hesap",23
"hissediyorum",23
"inþ",23
"kal",23
"kapi",23
"kilo",23
"kritik",23
"kurban",23
"maskeler",23
"maskeleri",23
"mayýs'ta",23
"misin",23
"olmam",23
"olumlu",23
"orasý",23
"oytun_erbas",23
"öðretmendentasarrufolmaz",23
"ölümler",23
"ölümleri",23
"önümüzdeki",23
"özgürlük",23
"salgýnýna",23
"sebeple",23
"sermaye",23
"sýnýf",23
"stres",23
"þeklinde",23
"tarafsýzbölge",23
"temmuzda",23
"türkiye'ye",23
"türkiye’nin",23
