"Ýl","Araçtipi","Taþýtsayýsý"
"Niðde","Kamyonet",18459
"Ordu","Kamyonet",35773
"Rize","Kamyonet",33019
"Sakarya","Kamyonet",47836
"Samsun","Kamyonet",68955
"Siirt","Kamyonet",5312
"Sinop","Kamyonet",9089
"Sivas","Kamyonet",26144
"Tekirdað","Kamyonet",44790
"Tokat","Kamyonet",26468
"Trabzon","Kamyonet",58630
"Tunceli","Kamyonet",1820
"Þanlýurfa","Kamyonet",29335
"Uþak","Kamyonet",19255
"Van","Kamyonet",22854
"Yozgat","Kamyonet",12915
"Zonguldak","Kamyonet",26046
"Aksaray","Kamyonet",17846
"Bayburt","Kamyonet",2922
"Karaman","Kamyonet",12274
"Kýrýkkale","Kamyonet",8452
"Batman","Kamyonet",11479
"Þýrnak","Kamyonet",5502
"Bartýn","Kamyonet",7713
"Ardahan","Kamyonet",2849
"Iðdýr","Kamyonet",5532
"Yalova","Kamyonet",13356
"Karabük","Kamyonet",9629
"Kilis","Kamyonet",3938
"Osmaniye","Kamyonet",23381
"Düzce","Kamyonet",17274
"Adana","Kamyon",19611
"Adýyaman","Kamyon",3461
"Afyonkarahisar","Kamyon",9659
"Aðrý","Kamyon",2055
"Amasya","Kamyon",3508
"Ankara","Kamyon",81204
"Antalya","Kamyon",23900
"Artvin","Kamyon",3477
"Aydýn","Kamyon",8967
"Balýkesir","Kamyon",12497
"Bilecik","Kamyon",3160
"Bingöl","Kamyon",1149
"Bitlis","Kamyon",1746
"Bolu","Kamyon",5966
"Burdur","Kamyon",5748
"Bursa","Kamyon",28590
"Çanakkale","Kamyon",5957
"Çankýrý","Kamyon",1898
"Çorum","Kamyon",5730
"Denizli","Kamyon",12028
"Diyarbakýr","Kamyon",6698
"Edirne","Kamyon",4448
"Elazýð","Kamyon",5399
"Erzincan","Kamyon",1956
"Erzurum","Kamyon",5806
"Eskiþehir","Kamyon",10583
"Gaziantep","Kamyon",19097
"Giresun","Kamyon",4573
"Gümüþhane","Kamyon",1464
"Hakkari","Kamyon",1363
"Hatay","Kamyon",20128
"Isparta","Kamyon",4558
"Mersin","Kamyon",32944
"Ýstanbul","Kamyon",134214
"Ýzmir","Kamyon",42164
"Kars","Kamyon",1832
"Kastamonu","Kamyon",5314
"Kayseri","Kamyon",16737
"Kýrklareli","Kamyon",4234
"Kýrþehir","Kamyon",2367
"Kocaeli","Kamyon",23043
"Konya","Kamyon",36884
"Kütahya","Kamyon",7083
"Malatya","Kamyon",5316
"Manisa","Kamyon",15461
"Kahramanmaraþ","Kamyon",7448
"Mardin","Kamyon",10113
"Muðla","Kamyon",9602
"Muþ","Kamyon",1731
"Nevþehir","Kamyon",6818
"Niðde","Kamyon",5759
"Ordu","Kamyon",5821
"Rize","Kamyon",5885
"Sakarya","Kamyon",10808
"Samsun","Kamyon",10127
"Siirt","Kamyon",1049
"Sinop","Kamyon",2032
"Sivas","Kamyon",6100
"Tekirdað","Kamyon",10695
"Tokat","Kamyon",4533
"Trabzon","Kamyon",11587
"Tunceli","Kamyon",444
"Þanlýurfa","Kamyon",14223
"Uþak","Kamyon",4086
"Van","Kamyon",6082
"Yozgat","Kamyon",5259
"Zonguldak","Kamyon",6149
"Aksaray","Kamyon",6343
"Bayburt","Kamyon",668
"Karaman","Kamyon",2522
"Kýrýkkale","Kamyon",2592
"Batman","Kamyon",2597
"Þýrnak","Kamyon",10993
"Bartýn","Kamyon",1592
"Ardahan","Kamyon",480
"Iðdýr","Kamyon",3209
"Yalova","Kamyon",2042
"Karabük","Kamyon",3013
"Kilis","Kamyon",1072
"Osmaniye","Kamyon",3678
"Düzce","Kamyon",4608
"Adana","Motosiklet",133760
"Adýyaman","Motosiklet",14262
"Afyonkarahisar","Motosiklet",40267
"Aðrý","Motosiklet",1346
"Amasya","Motosiklet",12824
"Ankara","Motosiklet",52582
"Antalya","Motosiklet",290033
"Artvin","Motosiklet",1667
"Aydýn","Motosiklet",132741
"Balýkesir","Motosiklet",118929
"Bilecik","Motosiklet",7591
"Bingöl","Motosiklet",652
"Bitlis","Motosiklet",580
"Bolu","Motosiklet",11517
"Burdur","Motosiklet",34134
"Bursa","Motosiklet",104123
"Çanakkale","Motosiklet",60923
"Çankýrý","Motosiklet",4991
"Çorum","Motosiklet",17763
"Denizli","Motosiklet",72212
"Diyarbakýr","Motosiklet",10176
"Edirne","Motosiklet",29135
"Elazýð","Motosiklet",7323
"Erzincan","Motosiklet",8310
"Erzurum","Motosiklet",2939
"Eskiþehir","Motosiklet",31924
"Gaziantep","Motosiklet",119934
"Giresun","Motosiklet",3880
"Gümüþhane","Motosiklet",1478
"Hakkari","Motosiklet",353
"Hatay","Motosiklet",155888
"Isparta","Motosiklet",39944
"Mersin","Motosiklet",149777
"Ýstanbul","Motosiklet",334658
"Ýzmir","Motosiklet",265586
"Kars","Motosiklet",1644
"Kastamonu","Motosiklet",10746
"Kayseri","Motosiklet",18268
"Kýrklareli","Motosiklet",27464
"Kýrþehir","Motosiklet",4759
"Kocaeli","Motosiklet",30024
"Konya","Motosiklet",105657
"Kütahya","Motosiklet",30829
"Malatya","Motosiklet",10248
"Manisa","Motosiklet",182276
"Kahramanmaraþ","Motosiklet",20708
"Mardin","Motosiklet",7564
"Muðla","Motosiklet",164737
"Muþ","Motosiklet",911
"Nevþehir","Motosiklet",15464
"Niðde","Motosiklet",14984
"Ordu","Motosiklet",6454
"Rize","Motosiklet",2966
"Sakarya","Motosiklet",32554
"Samsun","Motosiklet",37920
"Siirt","Motosiklet",1933
"Sinop","Motosiklet",6021
"Sivas","Motosiklet",7455
"Tekirdað","Motosiklet",29860
"Tokat","Motosiklet",18928
"Trabzon","Motosiklet",6992
"Tunceli","Motosiklet",564
"Þanlýurfa","Motosiklet",67953
"Uþak","Motosiklet",24280
"Van","Motosiklet",3134
"Yozgat","Motosiklet",3556
"Zonguldak","Motosiklet",11536
"Aksaray","Motosiklet",13538
"Bayburt","Motosiklet",1223
"Karaman","Motosiklet",25655
"Kýrýkkale","Motosiklet",4046
"Batman","Motosiklet",6703
"Þýrnak","Motosiklet",2606
"Bartýn","Motosiklet",5099
"Ardahan","Motosiklet",491
"Iðdýr","Motosiklet",6474
"Yalova","Motosiklet",8189
"Karabük","Motosiklet",4254
"Kilis","Motosiklet",23379
"Osmaniye","Motosiklet",34257
"Düzce","Motosiklet",16672
"Adana","Özel amaçlý",1380
"Adýyaman","Özel amaçlý",338
"Afyonkarahisar","Özel amaçlý",596
"Aðrý","Özel amaçlý",450
"Amasya","Özel amaçlý",295
"Ankara","Özel amaçlý",7568
"Antalya","Özel amaçlý",2550
"Artvin","Özel amaçlý",215
"Aydýn","Özel amaçlý",738
"Balýkesir","Özel amaçlý",1104
"Bilecik","Özel amaçlý",276
"Bingöl","Özel amaçlý",349
"Bitlis","Özel amaçlý",337
"Bolu","Özel amaçlý",441
"Burdur","Özel amaçlý",366
"Bursa","Özel amaçlý",2156
"Çanakkale","Özel amaçlý",557
"Çankýrý","Özel amaçlý",246
"Çorum","Özel amaçlý",350
"Denizli","Özel amaçlý",901
"Diyarbakýr","Özel amaçlý",1328
"Edirne","Özel amaçlý",327
"Elazýð","Özel amaçlý",519
"Erzincan","Özel amaçlý",342
"Erzurum","Özel amaçlý",710
"Eskiþehir","Özel amaçlý",683
"Gaziantep","Özel amaçlý",1153
"Giresun","Özel amaçlý",429
"Gümüþhane","Özel amaçlý",187
"Hakkari","Özel amaçlý",579
"Hatay","Özel amaçlý",856
"Isparta","Özel amaçlý",448
"Mersin","Özel amaçlý",1337
"Ýstanbul","Özel amaçlý",8391
"Ýzmir","Özel amaçlý",3760
"Kars","Özel amaçlý",223
"Kastamonu","Özel amaçlý",405
"Kayseri","Özel amaçlý",894
"Kýrklareli","Özel amaçlý",290
"Kýrþehir","Özel amaçlý",176
"Kocaeli","Özel amaçlý",1236
"Konya","Özel amaçlý",2177
"Kütahya","Özel amaçlý",498
"Malatya","Özel amaçlý",496
"Manisa","Özel amaçlý",1032
"Kahramanmaraþ","Özel amaçlý",687
"Mardin","Özel amaçlý",628
"Muðla","Özel amaçlý",1182
"Muþ","Özel amaçlý",319
"Nevþehir","Özel amaçlý",272
"Niðde","Özel amaçlý",361
"Ordu","Özel amaçlý",423
"Rize","Özel amaçlý",292
"Sakarya","Özel amaçlý",740
"Samsun","Özel amaçlý",638
"Siirt","Özel amaçlý",350
"Sinop","Özel amaçlý",196
"Sivas","Özel amaçlý",487
"Tekirdað","Özel amaçlý",722
"Tokat","Özel amaçlý",450
"Trabzon","Özel amaçlý",648
"Tunceli","Özel amaçlý",490
"Þanlýurfa","Özel amaçlý",894
"Uþak","Özel amaçlý",327
"Van","Özel amaçlý",809
"Yozgat","Özel amaçlý",346
"Zonguldak","Özel amaçlý",453
"Aksaray","Özel amaçlý",380
"Bayburt","Özel amaçlý",90
"Karaman","Özel amaçlý",279
"Kýrýkkale","Özel amaçlý",248
"Batman","Özel amaçlý",363
"Þýrnak","Özel amaçlý",1059
"Bartýn","Özel amaçlý",174
"Ardahan","Özel amaçlý",147
"Iðdýr","Özel amaçlý",192
"Yalova","Özel amaçlý",220
"Karabük","Özel amaçlý",246
"Kilis","Özel amaçlý",202
"Osmaniye","Özel amaçlý",394
"Düzce","Özel amaçlý",328
"Adana","Traktör",52684
"Adýyaman","Traktör",18116
"Afyonkarahisar","Traktör",43551
"Aðrý","Traktör",8858
"Amasya","Traktör",21420
"Ankara","Traktör",57352
"Antalya","Traktör",49901
"Artvin","Traktör",1531
"Aydýn","Traktör",48610
"Balýkesir","Traktör",64381
"Bilecik","Traktör",10979
"Bingöl","Traktör",1187
"Bitlis","Traktör",4058
"Bolu","Traktör",21934
"Burdur","Traktör",22599
"Bursa","Traktör",65802
"Çanakkale","Traktör",34255
"Çankýrý","Traktör",14266
"Çorum","Traktör",41204
"Denizli","Traktör",52669
"Diyarbakýr","Traktör",24271
"Edirne","Traktör",32180
"Elazýð","Traktör",11276
"Erzincan","Traktör",7330
"Erzurum","Traktör",20333
"Eskiþehir","Traktör",23939
"Gaziantep","Traktör",36313
"Giresun","Traktör",3338
"Gümüþhane","Traktör",3749
"Hakkari","Traktör",1063
"Hatay","Traktör",23198
"Isparta","Traktör",22847
"Mersin","Traktör",35626
"Ýstanbul","Traktör",24565
"Ýzmir","Traktör",67086
"Kars","Traktör",19926
"Kastamonu","Traktör",30903
"Kayseri","Traktör",30185
"Kýrklareli","Traktör",20870
"Kýrþehir","Traktör",12337
"Kocaeli","Traktör",17947
"Konya","Traktör",89720
"Kütahya","Traktör",34247
"Malatya","Traktör",25164
"Manisa","Traktör",90999
"Kahramanmaraþ","Traktör",22437
"Mardin","Traktör",11383
"Muðla","Traktör",33898
"Muþ","Traktör",12703
"Nevþehir","Traktör",22044
"Niðde","Traktör",17922
"Ordu","Traktör",2580
"Rize","Traktör",115
"Sakarya","Traktör",40277
"Samsun","Traktör",52618
"Siirt","Traktör",3213
"Sinop","Traktör",8983
"Sivas","Traktör",32801
"Tekirdað","Traktör",30564
"Tokat","Traktör",42122
"Trabzon","Traktör",407
"Tunceli","Traktör",1810
"Þanlýurfa","Traktör",38581
"Uþak","Traktör",19496
"Van","Traktör",9320
"Yozgat","Traktör",33416
"Zonguldak","Traktör",9811
"Aksaray","Traktör",20013
"Bayburt","Traktör",3286
"Karaman","Traktör",12097
"Kýrýkkale","Traktör",9658
"Batman","Traktör",6013
"Þýrnak","Traktör",2974
"Bartýn","Traktör",5694
"Ardahan","Traktör",10644
"Iðdýr","Traktör",4761
"Yalova","Traktör",3131
"Karabük","Traktör",5877
"Kilis","Traktör",6419
"Osmaniye","Traktör",17168
"Düzce","Traktör",12149
